created_timestamp,impressions,clicks,likes
2014-01-01 00:00:00+00:00,100,100,100
2014-01-02 00:00:00+00:00,0,0,100
2014-01-03 00:00:00+00:00,100,100,200
2014-01-04 00:00:00+00:00,0,100,100
2014-01-05 00:00:00+00:00,100,100,0
2014-01-06 00:00:00+00:00,100,200,100
2014-01-07 00:00:00+00:00,100,300,0
2014-01-08 00:00:00+00:00,100,200,100
2014-01-09 00:00:00+00:00,100,300,100
2014-01-10 00:00:00+00:00,0,200,100
2014-01-11 00:00:00+00:00,100,300,100
2014-01-12 00:00:00+00:00,100,400,0
2014-01-13 00:00:00+00:00,0,500,100
2014-01-14 00:00:00+00:00,100,400,0
2014-01-15 00:00:00+00:00,100,500,100
2014-01-16 00:00:00+00:00,100,400,0
2014-01-17 00:00:00+00:00,200,300,100
2014-01-18 00:00:00+00:00,300,400,0
2014-01-19 00:00:00+00:00,400,300,100
2014-01-20 00:00:00+00:00,300,200,0
2014-01-21 00:00:00+00:00,400,300,100
2014-01-22 00:00:00+00:00,500,400,100
2014-01-23 00:00:00+00:00,600,500,0
2014-01-24 00:00:00+00:00,500,400,100
2014-01-25 00:00:00+00:00,400,300,0
2014-01-26 00:00:00+00:00,300,400,100
2014-01-27 00:00:00+00:00,400,300,0
2014-01-28 00:00:00+00:00,300,400,100
2014-01-29 00:00:00+00:00,400,300,100
2014-01-30 00:00:00+00:00,500,400,100
2014-01-31 00:00:00+00:00,600,300,200
2014-02-01 00:00:00+00:00,500,400,300
2014-02-02 00:00:00+00:00,400,500,200
2014-02-03 00:00:00+00:00,500,400,100
2014-02-04 00:00:00+00:00,600,500,200
2014-02-05 00:00:00+00:00,500,600,100
2014-02-06 00:00:00+00:00,400,500,200
2014-02-07 00:00:00+00:00,500,600,300
2014-02-08 00:00:00+00:00,600,700,200
2014-02-09 00:00:00+00:00,700,800,300
2014-02-10 00:00:00+00:00,800,700,200
2014-02-11 00:00:00+00:00,700,800,300
2014-02-12 00:00:00+00:00,800,700,400
2014-02-13 00:00:00+00:00,900,800,300
2014-02-14 00:00:00+00:00,800,900,400
2014-02-15 00:00:00+00:00,700,800,300
2014-02-16 00:00:00+00:00,800,900,400
2014-02-17 00:00:00+00:00,900,1000,300
2014-02-18 00:00:00+00:00,1000,1100,400
2014-02-19 00:00:00+00:00,900,1200,300
2014-02-20 00:00:00+00:00,1000,1100,200
2014-02-21 00:00:00+00:00,900,1000,100
2014-02-22 00:00:00+00:00,800,900,0
2014-02-23 00:00:00+00:00,700,800,100
2014-02-24 00:00:00+00:00,600,900,100
2014-02-25 00:00:00+00:00,700,1000,100
2014-02-26 00:00:00+00:00,600,900,200
2014-02-27 00:00:00+00:00,700,1000,300
2014-02-28 00:00:00+00:00,800,1100,200
2014-03-01 00:00:00+00:00,700,1000,100
2014-03-02 00:00:00+00:00,600,1100,0
2014-03-03 00:00:00+00:00,500,1000,100
2014-03-04 00:00:00+00:00,600,900,100
2014-03-05 00:00:00+00:00,700,800,100
2014-03-06 00:00:00+00:00,800,700,100
2014-03-07 00:00:00+00:00,900,800,100
2014-03-08 00:00:00+00:00,1000,700,0
2014-03-09 00:00:00+00:00,900,600,100
2014-03-10 00:00:00+00:00,1000,500,100
2014-03-11 00:00:00+00:00,1100,600,100
2014-03-12 00:00:00+00:00,1200,500,200
2014-03-13 00:00:00+00:00,1100,600,300
2014-03-14 00:00:00+00:00,1200,700,200
2014-03-15 00:00:00+00:00,1300,600,300
2014-03-16 00:00:00+00:00,1400,700,200
2014-03-17 00:00:00+00:00,1300,800,100
2014-03-18 00:00:00+00:00,1200,900,200
2014-03-19 00:00:00+00:00,1300,800,300
2014-03-20 00:00:00+00:00,1400,900,200
2014-03-21 00:00:00+00:00,1500,800,300
2014-03-22 00:00:00+00:00,1600,900,400
2014-03-23 00:00:00+00:00,1500,1000,500
2014-03-24 00:00:00+00:00,1600,1100,600
2014-03-25 00:00:00+00:00,1700,1000,700
2014-03-26 00:00:00+00:00,1800,1100,800
2014-03-27 00:00:00+00:00,1900,1200,900
2014-03-28 00:00:00+00:00,2000,1100,1000
2014-03-29 00:00:00+00:00,2100,1000,900
2014-03-30 00:00:00+00:00,2000,1100,800
2014-03-31 00:00:00+00:00,2100,1200,900
2014-04-01 00:00:00+00:00,2200,1100,1000
2014-04-02 00:00:00+00:00,2300,1000,1100
2014-04-03 00:00:00+00:00,2400,900,1200
2014-04-04 00:00:00+00:00,2500,800,1300
2014-04-05 00:00:00+00:00,2600,900,1200
2014-04-06 00:00:00+00:00,2700,800,1100
2014-04-07 00:00:00+00:00,2800,700,1200
2014-04-08 00:00:00+00:00,2900,800,1300
2014-04-09 00:00:00+00:00,2800,900,1400
2014-04-10 00:00:00+00:00,2700,1000,1300
2014-04-11 00:00:00+00:00,2800,900,1400
2014-04-12 00:00:00+00:00,2700,1000,1300
2014-04-13 00:00:00+00:00,2600,900,1200
2014-04-14 00:00:00+00:00,2700,800,1100
2014-04-15 00:00:00+00:00,2600,700,1200
2014-04-16 00:00:00+00:00,2700,600,1100
2014-04-17 00:00:00+00:00,2800,500,1200
2014-04-18 00:00:00+00:00,2700,600,1100
2014-04-19 00:00:00+00:00,2600,700,1000
2014-04-20 00:00:00+00:00,2700,600,1100
2014-04-21 00:00:00+00:00,2600,500,1000
2014-04-22 00:00:00+00:00,2500,600,1100
2014-04-23 00:00:00+00:00,2400,500,1000
2014-04-24 00:00:00+00:00,2300,600,1100
2014-04-25 00:00:00+00:00,2400,500,1200
2014-04-26 00:00:00+00:00,2300,600,1100
2014-04-27 00:00:00+00:00,2200,500,1200
2014-04-28 00:00:00+00:00,2100,600,1300
2014-04-29 00:00:00+00:00,2000,700,1400
2014-04-30 00:00:00+00:00,1900,600,1300
2014-05-01 00:00:00+00:00,2000,700,1400
2014-05-02 00:00:00+00:00,1900,800,1500
2014-05-03 00:00:00+00:00,2000,900,1400
2014-05-04 00:00:00+00:00,2100,1000,1300
2014-05-05 00:00:00+00:00,2200,900,1200
2014-05-06 00:00:00+00:00,2300,1000,1300
2014-05-07 00:00:00+00:00,2200,1100,1400
2014-05-08 00:00:00+00:00,2100,1000,1300
2014-05-09 00:00:00+00:00,2200,1100,1200
2014-05-10 00:00:00+00:00,2300,1200,1300
2014-05-11 00:00:00+00:00,2200,1100,1400
2014-05-12 00:00:00+00:00,2300,1200,1500
2014-05-13 00:00:00+00:00,2400,1100,1600
2014-05-14 00:00:00+00:00,2300,1200,1700
2014-05-15 00:00:00+00:00,2400,1100,1800
2014-05-16 00:00:00+00:00,2300,1000,1900
2014-05-17 00:00:00+00:00,2400,900,2000
2014-05-18 00:00:00+00:00,2500,800,1900
2014-05-19 00:00:00+00:00,2400,700,2000
2014-05-20 00:00:00+00:00,2500,800,2100
2014-05-21 00:00:00+00:00,2400,900,2200
2014-05-22 00:00:00+00:00,2500,800,2300
2014-05-23 00:00:00+00:00,2600,700,2200
2014-05-24 00:00:00+00:00,2700,600,2300
2014-05-25 00:00:00+00:00,2800,500,2400
2014-05-26 00:00:00+00:00,2900,600,2500
2014-05-27 00:00:00+00:00,2800,500,2400
2014-05-28 00:00:00+00:00,2700,400,2500
2014-05-29 00:00:00+00:00,2600,500,2400
2014-05-30 00:00:00+00:00,2500,400,2300
2014-05-31 00:00:00+00:00,2600,500,2400
2014-06-01 00:00:00+00:00,2700,400,2500
2014-06-02 00:00:00+00:00,2800,300,2400
2014-06-03 00:00:00+00:00,2900,400,2500
2014-06-04 00:00:00+00:00,2800,300,2400
2014-06-05 00:00:00+00:00,2700,400,2300
2014-06-06 00:00:00+00:00,2800,300,2200
2014-06-07 00:00:00+00:00,2700,400,2300
2014-06-08 00:00:00+00:00,2600,500,2200
2014-06-09 00:00:00+00:00,2500,400,2300
2014-06-10 00:00:00+00:00,2600,500,2200
2014-06-11 00:00:00+00:00,2500,600,2100
2014-06-12 00:00:00+00:00,2600,500,2200
2014-06-13 00:00:00+00:00,2500,400,2100
2014-06-14 00:00:00+00:00,2400,300,2000
2014-06-15 00:00:00+00:00,2500,400,2100
2014-06-16 00:00:00+00:00,2400,300,2200
2014-06-17 00:00:00+00:00,2300,200,2300
2014-06-18 00:00:00+00:00,2200,100,2400
2014-06-19 00:00:00+00:00,2300,0,2500
2014-06-20 00:00:00+00:00,2400,100,2400
2014-06-21 00:00:00+00:00,2500,100,2300
2014-06-22 00:00:00+00:00,2600,0,2200
2014-06-23 00:00:00+00:00,2500,100,2300
2014-06-24 00:00:00+00:00,2400,100,2200
2014-06-25 00:00:00+00:00,2300,100,2300
2014-06-26 00:00:00+00:00,2400,100,2200
2014-06-27 00:00:00+00:00,2500,0,2100
2014-06-28 00:00:00+00:00,2600,100,2200
2014-06-29 00:00:00+00:00,2500,100,2300
2014-06-30 00:00:00+00:00,2400,0,2400
2014-07-01 00:00:00+00:00,2500,100,2500
2014-07-02 00:00:00+00:00,2400,0,2400
2014-07-03 00:00:00+00:00,2500,100,2500
2014-07-04 00:00:00+00:00,2400,0,2600
2014-07-05 00:00:00+00:00,2300,100,2700
2014-07-06 00:00:00+00:00,2400,100,2600
2014-07-07 00:00:00+00:00,2300,0,2500
2014-07-08 00:00:00+00:00,2200,100,2600
2014-07-09 00:00:00+00:00,2300,100,2500
2014-07-10 00:00:00+00:00,2200,100,2400
2014-07-11 00:00:00+00:00,2300,200,2300
2014-07-12 00:00:00+00:00,2400,100,2200
2014-07-13 00:00:00+00:00,2300,200,2300
2014-07-14 00:00:00+00:00,2400,300,2400
2014-07-15 00:00:00+00:00,2300,400,2500
2014-07-16 00:00:00+00:00,2400,300,2400
2014-07-17 00:00:00+00:00,2300,200,2300
2014-07-18 00:00:00+00:00,2200,300,2400
2014-07-19 00:00:00+00:00,2300,400,2300
2014-07-20 00:00:00+00:00,2200,500,2400
2014-07-21 00:00:00+00:00,2100,400,2300
2014-07-22 00:00:00+00:00,2200,500,2200
2014-07-23 00:00:00+00:00,2300,400,2100
2014-07-24 00:00:00+00:00,2200,500,2000
2014-07-25 00:00:00+00:00,2300,600,2100
2014-07-26 00:00:00+00:00,2400,700,2200
2014-07-27 00:00:00+00:00,2300,600,2300
2014-07-28 00:00:00+00:00,2400,700,2200
